2024-03-31 21:25:30 -  - TIME UpdateStepModules 7.353 sec
2024-03-31 21:25:34 - CSURUS1 - Run updater '/bitrix/updates/update_aspro.optimus.1.7.8.delta.upd/aspro.optimus/updater1.7.8.php'
2024-03-31 21:25:37 -  - TIME UpdateStepModules 2.396 sec
2024-03-31 21:25:56 -  - exec CUpdateClientPartner::GetUpdatesList
2024-03-31 21:25:56 -  - exec CUpdateClientPartner::__CollectRequestData
2024-03-31 21:25:56 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=_&LICENSE_KEY=X&SUPD_STS=1&SUPD_URS=1&TYPENC=D&CLIENT_PHPVER=8.2.8&NGINX=Y&dbv=8.1.0&instm=main%2C23.300.100%2CY%3Bvote%2C23.0.0%2CN%3Bsale%2C23.200.0%2CN%3Bui%2C22.1600.0%2CN%3Blanding%2C23.600.150%2CN%3Bmobileapp%2C23.0.0%2CN%3Bform%2C22.0.0%2CN%3Bperfmon%2C21.0.0%2CN%3Bscale%2C21.0.0%2CN%3Bhighloadblock%2C22.200.0%2CN%3Bsecurity%2C21.300.0%2CN%3Btranslate%2C23.200.0%2CN%3Bbitrix.eshop%2C22.100.0%2CN%3Blocation%2C23.0.0%2CN%3Bpull%2C23.100.0%2CN%3Bcatalog%2C23.100.0%2CN%3Babtest%2C21.0.0%2CN%3Bsocialservices%2C22.200.400%2CN%3Bsender%2C23.0.0%2CN%3Bphotogallery%2C22.0.200%2CN%3Bblog%2C22.0.0%2CN%3Bclouds%2C23.0.0%2CN%3Bsearch%2C22.100.0%2CN%3Biblock%2C23.100.0%2CN%3Bforum%2C23.0.0%2CN%3Bsubscribe%2C21.0.0%2CN%3Bmessageservice%2C23.0.0%2CN%3Bconversion%2C22.0.0%2CN%3Breport%2C23.0.0%2CN%3Bstoreassist%2C21.0.0%2CN%3Bbitrixcloud%2C22.100.0%2CN%3Bbitrix.sitecorporate%2C15.5.0%2CN%3Bseo%2C23.200.0%2CN%3Bb24connector%2C22.0.0%2CN%3Bcurrency%2C22.500.0%2CN%3Brest%2C23.100.0%2CN%3Bfileman%2C22.300.0%2CN&reqm=bitrix.eshop%2Cbitrix.sitecorporate&fullmoduleinfo=Y&SUPD_SRS=RU&SUPD_CMP=N
2024-03-31 21:25:56 -  - exec CUpdateClientPartner::GetHTTPPage
2024-03-31 21:25:57 -  - TIME GetUpdatesList(request) 0.074 sec
2024-03-31 21:25:57 -  - exec CUpdateClientPartner::ParseServerData
2024-03-31 21:26:03 -  - exec CUpdateClientPartner::GetUpdatesList
2024-03-31 21:26:03 -  - exec CUpdateClientPartner::__CollectRequestData
2024-03-31 21:26:03 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=_&LICENSE_KEY=X&SUPD_STS=1&SUPD_URS=1&TYPENC=D&CLIENT_PHPVER=8.2.8&NGINX=Y&dbv=8.1.0&instm=main%2C23.300.100%2CY%3Bvote%2C23.0.0%2CN%3Bsale%2C23.200.0%2CN%3Bui%2C22.1600.0%2CN%3Blanding%2C23.600.150%2CN%3Bmobileapp%2C23.0.0%2CN%3Bform%2C22.0.0%2CN%3Bperfmon%2C21.0.0%2CN%3Bscale%2C21.0.0%2CN%3Bhighloadblock%2C22.200.0%2CN%3Bsecurity%2C21.300.0%2CN%3Btranslate%2C23.200.0%2CN%3Bbitrix.eshop%2C22.100.0%2CN%3Blocation%2C23.0.0%2CN%3Bpull%2C23.100.0%2CN%3Bcatalog%2C23.100.0%2CN%3Babtest%2C21.0.0%2CN%3Bsocialservices%2C22.200.400%2CN%3Bsender%2C23.0.0%2CN%3Bphotogallery%2C22.0.200%2CN%3Bblog%2C22.0.0%2CN%3Bclouds%2C23.0.0%2CN%3Bsearch%2C22.100.0%2CN%3Biblock%2C23.100.0%2CN%3Bforum%2C23.0.0%2CN%3Bsubscribe%2C21.0.0%2CN%3Bmessageservice%2C23.0.0%2CN%3Bconversion%2C22.0.0%2CN%3Breport%2C23.0.0%2CN%3Bstoreassist%2C21.0.0%2CN%3Bbitrixcloud%2C22.100.0%2CN%3Bbitrix.sitecorporate%2C15.5.0%2CN%3Bseo%2C23.200.0%2CN%3Bb24connector%2C22.0.0%2CN%3Bcurrency%2C22.500.0%2CN%3Brest%2C23.100.0%2CN%3Bfileman%2C22.300.0%2CN&reqm=bitrix.eshop%2Cbitrix.sitecorporate&fullmoduleinfo=Y&SUPD_SRS=RU&SUPD_CMP=N
2024-03-31 21:26:03 -  - exec CUpdateClientPartner::GetHTTPPage
2024-03-31 21:26:03 -  - TIME GetUpdatesList(request) 0.065 sec
2024-03-31 21:26:03 -  - exec CUpdateClientPartner::ParseServerData
2024-04-01 09:20:45 -  - exec CUpdateClientPartner::GetUpdatesList
2024-04-01 09:20:45 -  - exec CUpdateClientPartner::__CollectRequestData
